DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
14-08-2025,EQ,"2,505.00",2534.90,"2,497.70","2,500.20","2,530.00","2,528.70","2,519.33","3,394.90","2,124.75",1088550.00,"2,74,24,13,198.50",82726
13-08-2025,EQ,"2,479.80",2504.40,"2,461.20","2,478.30","2,501.00","2,500.20","2,494.95","3,394.90","2,124.75",350844.00,"87,53,36,847.90",31382
12-08-2025,EQ,"2,489.10",2502.80,"2,474.00","2,489.10","2,479.80","2,478.30","2,488.18","3,394.90","2,124.75",608984.00,"1,51,52,59,131.70",61510
11-08-2025,EQ,"2,463.90",2504.20,"2,452.00","2,475.60","2,491.40","2,489.10","2,484.31","3,394.90","2,124.75",721135.00,"1,79,15,20,953.60",66377
08-08-2025,EQ,"2,506.50",2511.70,"2,468.50","2,506.50","2,476.00","2,475.60","2,491.63","3,394.90","2,124.75",1178226.00,"2,93,57,02,156.30",109498
07-08-2025,EQ,"2,484.10",2510.00,"2,466.90","2,491.20","2,508.00","2,506.50","2,490.68","3,394.90","2,124.75",1502806.00,"3,74,30,02,537.30",75726
06-08-2025,EQ,"2,440.00",2505.60,"2,440.00","2,436.80","2,484.10","2,491.20","2,486.79","3,394.90","2,124.75",2019109.00,"5,02,10,94,057.10",106533
05-08-2025,EQ,"2,461.90",2463.70,"2,409.10","2,449.80","2,434.90","2,436.80","2,432.86","3,394.90","2,124.75",659094.00,"1,60,34,80,439.00",43105
04-08-2025,EQ,"2,443.20",2467.00,"2,439.60","2,431.00","2,450.00","2,449.80","2,452.78","3,394.90","2,124.75",1165898.00,"2,85,96,89,906.00",75984
01-08-2025,EQ,"2,378.00",2472.00,"2,378.00","2,396.10","2,434.00","2,431.00","2,446.65","3,394.90","2,124.75",2225293.00,"5,44,45,03,615.10",109846
31-07-2025,EQ,"2,401.40",2417.20,"2,373.50","2,415.80","2,391.00","2,396.10","2,399.72","3,394.90","2,124.75",1274735.00,"3,05,90,12,568.50",86988
30-07-2025,EQ,"2,409.00",2443.80,"2,366.50","2,401.50","2,411.00","2,415.80","2,418.53","3,394.90","2,124.75",1685818.00,"4,07,72,05,818.80",101534
29-07-2025,EQ,"2,359.00",2418.30,"2,325.00","2,359.60","2,406.10","2,401.50","2,386.54","3,394.90","2,124.75",1742815.00,"4,15,93,05,149.80",114151
28-07-2025,EQ,"2,336.20",2366.40,"2,320.00","2,336.20","2,359.50","2,359.60","2,350.85","3,394.90","2,124.75",650364.00,"1,52,89,10,548.30",48878
25-07-2025,EQ,"2,340.00",2350.50,"2,325.80","2,352.10","2,338.90","2,336.20","2,336.97","3,394.90","2,124.75",383636.00,"89,65,46,545.90",35385
24-07-2025,EQ,"2,375.40",2380.00,"2,341.00","2,375.40","2,352.00","2,352.10","2,356.35","3,394.90","2,124.75",506960.00,"1,19,45,73,369.30",37060
23-07-2025,EQ,"2,363.00",2384.70,"2,352.60","2,365.20","2,381.20","2,375.40","2,363.97","3,394.90","2,124.75",368999.00,"87,23,01,520.90",35010
22-07-2025,EQ,"2,375.40",2380.80,"2,361.30","2,375.40","2,365.00","2,365.20","2,367.87","3,394.90","2,124.75",411317.00,"97,39,45,345.90",36497
21-07-2025,EQ,"2,382.40",2408.00,"2,360.80","2,382.40","2,378.80","2,375.40","2,371.87","3,394.90","2,124.75",390934.00,"92,72,44,568.90",30724
